date,day_of_week,revenue,orders,customers_active,new_customers,profit,cat_electronics,cat_software,cat_cloud,cat_hardware,cat_consulting
2025-09-30,Tuesday,3177993.73,1020,764,57,859052.71,1207637.62,826278.37,635598.75,317799.37,190679.62
2025-10-01,Wednesday,3274160.03,1180,834,49,890539.86,1244180.81,851281.61,654832.01,327416.0,196449.6
2025-10-02,Thursday,3477208.84,1130,890,54,908009.74,1321339.36,904074.3,695441.77,347720.88,208632.53
2025-10-03,Friday,3261303.52,1223,932,21,864445.09,1239295.34,847938.92,652260.7,326130.35,195678.21
2025-10-04,Saturday,2555722.37,1011,714,40,634468.45,971174.5,664487.82,511144.47,255572.24,153343.34
2025-10-05,Sunday,2726134.84,1060,814,32,750542.43,1035931.24,708795.06,545226.97,272613.48,163568.09
2025-10-06,Monday,3232245.78,1194,940,62,802034.63,1228253.4,840383.9,646449.16,323224.58,193934.75
2025-10-07,Tuesday,3517860.28,1164,955,65,929366.85,1336786.91,914643.67,703572.06,351786.03,211071.62
2025-10-08,Wednesday,3447017.05,1108,816,58,902414.22,1309866.48,896224.43,689403.41,344701.71,206821.02
2025-10-09,Thursday,3218086.97,1125,944,37,854930.04,1222873.05,836702.61,643617.39,321808.7,193085.22
2025-10-10,Friday,3098950.47,1114,818,31,846963.04,1177601.18,805727.12,619790.09,309895.05,185937.03
2025-10-11,Saturday,2714043.59,1043,797,46,708415.98,1031336.56,705651.33,542808.72,271404.36,162842.62
2025-10-12,Sunday,2485333.42,962,750,53,649911.93,944426.7,646186.69,497066.68,248533.34,149120.01
2025-10-13,Monday,3143201.16,1130,922,19,775038.42,1194416.44,817232.3,628640.23,314320.12,188592.07
2025-10-14,Tuesday,3309224.97,1109,806,63,834434.79,1257505.49,860398.49,661844.99,330922.5,198553.5
2025-10-15,Wednesday,3317417.78,1306,1010,50,840611.27,1260618.76,862528.62,663483.56,331741.78,199045.07
2025-10-16,Thursday,3424381.09,1208,861,26,876988.75,1301264.81,890339.08,684876.22,342438.11,205462.87
2025-10-17,Friday,3501975.78,1259,1006,57,907810.35,1330750.8,910513.7,700395.16,350197.58,210118.55
2025-10-18,Saturday,2641242.49,892,701,16,659901.37,1003672.15,686723.05,528248.5,264124.25,158474.55
2025-10-19,Sunday,2761526.04,1044,782,15,760582.76,1049379.9,717996.77,552305.21,276152.6,165691.56
2025-10-20,Monday,3512317.77,1212,967,54,972420.04,1334680.75,913202.62,702463.55,351231.78,210739.07
2025-10-21,Tuesday,3384602.01,1145,866,49,895244.8,1286148.76,879996.52,676920.4,338460.2,203076.12
2025-10-22,Wednesday,3475378.57,1158,862,38,850630.5,1320643.86,903598.43,695075.71,347537.86,208522.71
2025-10-23,Thursday,3233377.18,1149,852,46,866320.97,1228683.33,840678.07,646675.44,323337.72,194002.63
2025-10-24,Friday,3483613.73,1313,972,49,857687.5,1323773.22,905739.57,696722.75,348361.37,209016.82
2025-10-25,Saturday,2442072.17,789,622,20,681324.84,927987.42,634938.76,488414.43,244207.22,146524.33
2025-10-26,Sunday,2745024.36,1032,821,39,768500.49,1043109.26,713706.33,549004.87,274502.44,164701.46
2025-10-27,Monday,3402158.82,1133,837,44,888714.25,1292820.35,884561.29,680431.76,340215.88,204129.53
2025-10-28,Tuesday,3110627.19,1041,783,19,800058.55,1182038.33,808763.07,622125.44,311062.72,186637.63
2025-10-29,Wednesday,3312026.61,1086,821,51,896797.12,1258570.11,861126.92,662405.32,331202.66,198721.6
2025-10-30,Thursday,3252617.9,1090,777,58,838360.02,1235994.8,845680.65,650523.58,325261.79,195157.07
2025-10-31,Friday,3337414.77,1148,895,45,863036.06,1268217.61,867727.84,667482.95,333741.48,200244.89
2025-11-01,Saturday,2607733.96,934,664,39,677348.55,990938.9,678010.83,521546.79,260773.4,156464.04
2025-11-02,Sunday,2673780.27,910,640,35,736948.04,1016036.5,695182.87,534756.05,267378.03,160426.82
2025-11-03,Monday,3525165.95,1307,967,46,866595.1,1339563.06,916543.15,705033.19,352516.6,211509.96
2025-11-04,Tuesday,3288716.8,1131,953,35,865712.17,1249712.38,855066.37,657743.36,328871.68,197323.01
2025-11-05,Wednesday,3346307.66,1311,1095,35,913323.27,1271596.91,870039.99,669261.53,334630.77,200778.46
2025-11-06,Thursday,3369686.63,1127,924,39,881058.46,1280480.92,876118.52,673937.33,336968.66,202181.2
2025-11-07,Friday,3275564.85,1056,832,23,884038.22,1244714.64,851646.86,655112.97,327556.49,196533.89
2025-11-08,Saturday,2500904.6,786,653,40,637530.86,950343.75,650235.2,500180.92,250090.46,150054.28
2025-11-09,Sunday,2449179.55,831,640,46,654798.65,930688.23,636786.68,489835.91,244917.95,146950.77
2025-11-10,Monday,3480798.33,1205,864,48,845425.7,1322703.37,905007.57,696159.67,348079.83,208847.9
2025-11-11,Tuesday,3236044.14,1241,963,31,843586.7,1229696.77,841371.48,647208.83,323604.41,194162.65
2025-11-12,Wednesday,3365048.85,1102,897,24,840389.3,1278718.56,874912.7,673009.77,336504.89,201902.93
2025-11-13,Thursday,3262135.67,1024,833,56,858956.24,1239611.55,848155.27,652427.13,326213.57,195728.14
2025-11-14,Friday,3282277.31,1280,1016,42,882158.7,1247265.38,853392.1,656455.46,328227.73,196936.64
2025-11-15,Saturday,2598322.66,978,710,40,657072.35,987362.61,675563.89,519664.53,259832.27,155899.36
2025-11-16,Sunday,2678648.62,916,726,61,668120.81,1017886.48,696448.64,535729.72,267864.86,160718.92
2025-11-17,Monday,3206853.25,1173,993,40,857421.37,1218604.24,833781.84,641370.65,320685.33,192411.2
2025-11-18,Tuesday,3217616.74,1218,1013,35,785794.15,1222694.36,836580.35,643523.35,321761.67,193057.0
2025-11-19,Wednesday,3285000.14,1203,971,19,817612.59,1248300.05,854100.04,657000.03,328500.01,197100.01
2025-11-20,Thursday,3271989.03,1055,868,17,806372.32,1243355.83,850717.15,654397.81,327198.9,196319.34
2025-11-21,Friday,3119565.64,1083,826,58,834233.94,1185434.94,811087.07,623913.13,311956.56,187173.94
2025-11-22,Saturday,2501917.34,949,728,19,699110.81,950728.59,650498.51,500383.47,250191.73,150115.04
2025-11-23,Sunday,2754524.35,911,744,41,717878.68,1046719.25,716176.33,550904.87,275452.43,165271.46
2025-11-24,Monday,3130201.59,1052,881,60,830287.06,1189476.6,813852.41,626040.32,313020.16,187812.1
2025-11-25,Tuesday,3447802.99,1358,1005,62,960649.55,1310165.14,896428.78,689560.6,344780.3,206868.18
2025-11-26,Wednesday,3310561.77,1172,852,23,810129.87,1258013.47,860746.06,662112.35,331056.18,198633.71
2025-11-27,Thursday,3452004.37,1195,869,60,899060.92,1311761.66,897521.14,690400.87,345200.44,207120.26
2025-11-28,Friday,3157385.03,1116,873,18,822241.7,1199806.31,820920.11,631477.01,315738.5,189443.1
2025-11-29,Saturday,2685753.71,934,681,52,661428.76,1020586.41,698295.96,537150.74,268575.37,161145.22
2025-11-30,Sunday,2467617.06,940,749,63,634771.72,937694.48,641580.44,493523.41,246761.71,148057.02
2025-12-01,Monday,3537598.77,1200,859,59,873616.38,1344287.53,919775.68,707519.75,353759.88,212255.93
2025-12-02,Tuesday,3165584.55,1094,912,43,869408.21,1202922.13,823051.98,633116.91,316558.46,189935.07
2025-12-03,Wednesday,3392267.3,1139,870,33,835084.5,1289061.57,881989.5,678453.46,339226.73,203536.04
2025-12-04,Thursday,3412020.6,1220,997,28,926557.61,1296567.83,887125.36,682404.12,341202.06,204721.24
2025-12-05,Friday,3601661.68,1342,1062,57,917799.56,1368631.44,936432.04,720332.34,360166.17,216099.7
2025-12-06,Saturday,2529812.52,926,693,60,698355.85,961328.76,657751.26,505962.5,252981.25,151788.75
2025-12-07,Sunday,2607902.06,874,661,44,700781.61,991002.78,678054.54,521580.41,260790.21,156474.12
2025-12-08,Monday,3563167.61,1265,886,52,972878.15,1354003.69,926423.58,712633.52,356316.76,213790.06
2025-12-09,Tuesday,3167668.32,1033,736,46,828449.33,1203713.96,823593.76,633533.66,316766.83,190060.1
2025-12-10,Wednesday,3297414.18,1253,1050,36,861789.02,1253017.39,857327.69,659482.84,329741.42,197844.85
2025-12-11,Thursday,3412430.85,1164,889,22,947430.27,1296723.72,887232.02,682486.17,341243.09,204745.85
2025-12-12,Friday,3177500.16,1045,875,19,884718.87,1207450.06,826150.04,635500.03,317750.02,190650.01
2025-12-13,Saturday,2540209.18,936,756,38,638595.85,965279.49,660454.39,508041.84,254020.92,152412.55
2025-12-14,Sunday,2502506.6,797,594,36,639586.49,950952.51,650651.72,500501.32,250250.66,150150.4
2025-12-15,Monday,3230462.54,1156,938,34,871944.02,1227575.77,839920.26,646092.51,323046.25,193827.75
2025-12-16,Tuesday,3311621.56,1115,856,46,851498.8,1258416.19,861021.61,662324.31,331162.16,198697.29
2025-12-17,Wednesday,3275089.59,1232,958,57,801414.83,1244534.04,851523.29,655017.92,327508.96,196505.38
2025-12-18,Thursday,3646707.87,1340,1071,34,885755.01,1385748.99,948144.05,729341.57,364670.79,218802.47
2025-12-19,Friday,3377039.31,1201,892,53,923119.68,1283274.94,878030.22,675407.86,337703.93,202622.36
2025-12-20,Saturday,2489716.2,780,662,33,636893.61,946092.16,647326.21,497943.24,248971.62,149382.97
2025-12-21,Sunday,2762564.59,926,771,63,717629.52,1049774.54,718266.79,552512.92,276256.46,165753.88
2025-12-22,Monday,3608001.25,1427,1010,25,948429.65,1371040.48,938080.33,721600.25,360800.12,216480.07
2025-12-23,Tuesday,3491961.0,1375,982,43,914052.27,1326945.18,907909.86,698392.2,349196.1,209517.66
2025-12-24,Wednesday,3618215.67,1355,950,48,952952.38,1374921.95,940736.07,723643.13,361821.57,217092.94
2025-12-25,Thursday,3385047.45,1227,910,43,839774.45,1286318.03,880112.34,677009.49,338504.75,203102.85
2025-12-26,Friday,3345187.92,1287,1038,42,861966.62,1271171.41,869748.86,669037.58,334518.79,200711.28
2025-12-27,Saturday,2854286.44,1080,788,27,690069.62,1084628.85,742114.47,570857.29,285428.64,171257.19
2025-12-28,Sunday,2595418.11,815,581,57,705830.0,986258.88,674808.71,519083.62,259541.81,155725.09
2025-12-29,Monday,3232228.97,1080,821,30,790627.73,1228247.01,840379.53,646445.79,323222.9,193933.74
2025-12-30,Tuesday,3681884.21,1400,1012,60,989852.71,1399116.0,957289.89,736376.84,368188.42,220913.05
2025-12-31,Wednesday,3554120.5,1287,1067,38,909031.4,1350565.79,924071.33,710824.1,355412.05,213247.23
2026-01-01,Thursday,3390589.86,1172,911,35,944176.05,1288424.15,881553.36,678117.97,339058.99,203435.39
2026-01-02,Friday,3453355.94,1079,838,59,901467.33,1312275.26,897872.54,690671.19,345335.59,207201.36
2026-01-03,Saturday,2660623.81,967,772,61,698037.02,1011037.05,691762.19,532124.76,266062.38,159637.43
2026-01-04,Sunday,2702622.53,855,693,20,749312.66,1026996.56,702681.86,540524.51,270262.25,162157.35
2026-01-05,Monday,3367703.47,1192,1002,15,843335.27,1279727.32,875602.9,673540.69,336770.35,202062.21
2026-01-06,Tuesday,3254556.87,1023,845,34,886985.32,1236731.61,846184.79,650911.37,325455.69,195273.41
2026-01-07,Wednesday,3300380.06,1245,1026,63,832409.77,1254144.42,858098.82,660076.01,330038.01,198022.8
2026-01-08,Thursday,3611038.64,1355,993,16,942449.46,1372194.68,938870.05,722207.73,361103.86,216662.32
2026-01-09,Friday,3389674.54,1084,839,41,942031.2,1288076.33,881315.38,677934.91,338967.45,203380.47
2026-01-10,Saturday,2662565.01,946,762,18,640900.52,1011774.7,692266.9,532513.0,266256.5,159753.9
2026-01-11,Sunday,2586851.1,996,812,46,686526.47,983003.42,672581.29,517370.22,258685.11,155211.07
2026-01-12,Monday,3313823.17,1255,1042,57,796432.51,1259252.8,861594.02,662764.63,331382.32,198829.39
2026-01-13,Tuesday,3338883.06,1082,885,57,873814.42,1268775.56,868109.6,667776.61,333888.31,200332.98
2026-01-14,Wednesday,3370718.01,1101,931,63,840207.44,1280872.84,876386.68,674143.6,337071.8,202243.08
2026-01-15,Thursday,3316983.49,1073,789,45,853572.21,1260453.73,862415.71,663396.7,331698.35,199019.01
2026-01-16,Friday,3374714.02,1290,993,28,897883.35,1282391.33,877425.65,674942.8,337471.4,202482.84
2026-01-17,Saturday,2660988.04,1030,842,37,698854.07,1011175.46,691856.89,532197.61,266098.8,159659.28
2026-01-18,Sunday,2868788.71,899,710,53,779040.55,1090139.71,745885.06,573757.74,286878.87,172127.32
2026-01-19,Monday,3375044.83,1129,815,17,836458.44,1282517.04,877511.66,675008.97,337504.48,202502.69
2026-01-20,Tuesday,3456695.04,1380,970,58,943192.53,1313544.12,898740.71,691339.01,345669.5,207401.7
2026-01-21,Wednesday,3682884.84,1181,967,33,1030998.45,1399496.24,957550.06,736576.97,368288.48,220973.09
2026-01-22,Thursday,3385584.83,1136,845,27,855911.89,1286522.24,880252.06,677116.97,338558.48,203135.09
2026-01-23,Friday,3659140.67,1422,1194,55,959279.72,1390473.45,951376.57,731828.13,365914.07,219548.44
2026-01-24,Saturday,2770898.61,947,713,52,702389.02,1052941.47,720433.64,554179.72,277089.86,166253.92
2026-01-25,Sunday,2688013.05,1060,771,39,654211.49,1021444.96,698883.39,537602.61,268801.3,161280.78
2026-01-26,Monday,3268315.68,1222,930,43,814707.89,1241959.96,849762.08,653663.14,326831.57,196098.94
2026-01-27,Tuesday,3600485.56,1283,1001,55,908080.0,1368184.51,936126.25,720097.11,360048.56,216029.13
2026-01-28,Wednesday,3410943.59,1203,1008,15,851875.58,1296158.56,886845.33,682188.72,341094.36,204656.62
2026-01-29,Thursday,3611503.73,1162,932,52,884503.23,1372371.42,938990.97,722300.75,361150.37,216690.22
2026-01-30,Friday,3743330.3,1452,1038,50,952951.53,1422465.51,973265.88,748666.06,374333.03,224599.82
2026-01-31,Saturday,2625318.81,822,587,43,666519.47,997621.15,682582.89,525063.76,262531.88,157519.13
2026-02-01,Sunday,2922929.43,994,794,46,729508.41,1110713.18,759961.65,584585.89,292292.94,175375.77
2026-02-02,Monday,3554691.9,1122,907,23,945071.04,1350782.92,924219.89,710938.38,355469.19,213281.51
2026-02-03,Tuesday,3755779.03,1309,927,60,1027598.17,1427196.03,976502.55,751155.81,375577.9,225346.74
2026-02-04,Wednesday,3594276.44,1161,951,54,909858.29,1365825.05,934511.87,718855.29,359427.64,215656.59
2026-02-05,Thursday,3728163.08,1177,901,48,948707.5,1416701.97,969322.4,745632.62,372816.31,223689.78
2026-02-06,Friday,3713291.66,1244,1038,57,977528.25,1411050.83,965455.83,742658.33,371329.17,222797.5
2026-02-07,Saturday,2629540.18,908,720,37,709490.26,999225.27,683680.45,525908.04,262954.02,157772.41
2026-02-08,Sunday,2615113.12,1020,755,65,636103.21,993742.99,679929.41,523022.62,261511.31,156906.79
2026-02-09,Monday,3512506.07,1231,947,37,949342.02,1334752.31,913251.58,702501.21,351250.61,210750.36
2026-02-10,Tuesday,3783228.73,1418,1181,23,1005916.49,1437626.92,983639.47,756645.75,378322.87,226993.72
2026-02-11,Wednesday,3532488.86,1369,1069,43,876045.52,1342345.77,918447.1,706497.77,353248.89,211949.33
2026-02-12,Thursday,3703682.48,1325,1021,41,909672.47,1407399.34,962957.44,740736.5,370368.25,222220.95
2026-02-13,Friday,3496201.93,1128,829,51,870414.42,1328556.73,909012.5,699240.39,349620.19,209772.12
2026-02-14,Saturday,2635153.84,885,639,28,651277.92,1001358.46,685140.0,527030.77,263515.38,158109.23
2026-02-15,Sunday,2692229.31,861,657,27,744616.83,1023047.14,699979.62,538445.86,269222.93,161533.76
2026-02-16,Monday,3413991.75,1245,987,16,898239.31,1297316.86,887637.85,682798.35,341399.18,204839.51
2026-02-17,Tuesday,3333152.1,1170,950,50,911765.31,1266597.8,866619.55,666630.42,333315.21,199989.13
2026-02-18,Wednesday,3513925.92,1109,788,26,937682.98,1335291.85,913620.74,702785.18,351392.59,210835.56
2026-02-19,Thursday,3763868.73,1238,995,59,984970.79,1430270.12,978605.87,752773.75,376386.87,225832.12
2026-02-20,Friday,3392023.53,1321,947,23,876015.46,1288968.94,881926.12,678404.71,339202.35,203521.41
2026-02-21,Saturday,2624151.03,982,722,30,728182.88,997177.39,682279.27,524830.21,262415.1,157449.06
2026-02-22,Sunday,2728671.5,1062,880,64,669544.45,1036895.17,709454.59,545734.3,272867.15,163720.29
2026-02-23,Monday,3758009.27,1323,1049,58,908238.81,1428043.52,977082.41,751601.85,375800.93,225480.56
2026-02-24,Tuesday,3612398.67,1222,940,39,983415.81,1372711.49,939223.65,722479.73,361239.87,216743.92
2026-02-25,Wednesday,3775384.35,1443,1021,27,972432.1,1434646.05,981599.93,755076.87,377538.44,226523.06
2026-02-26,Thursday,3516132.2,1102,921,20,863561.45,1336130.24,914194.37,703226.44,351613.22,210967.93
2026-02-27,Friday,3522082.9,1183,841,25,974819.63,1338391.5,915741.55,704416.58,352208.29,211324.97
2026-02-28,Saturday,2768770.04,1073,844,21,665300.17,1052132.62,719880.21,553754.01,276877.0,166126.2
2026-03-01,Sunday,2696691.48,925,710,46,748133.26,1024742.76,701139.78,539338.3,269669.15,161801.49
2026-03-02,Monday,3599969.37,1145,858,30,982431.81,1367988.36,935992.04,719993.87,359996.94,215998.16
2026-03-03,Tuesday,3439970.56,1175,960,58,953542.32,1307188.81,894392.35,687994.11,343997.06,206398.23
2026-03-04,Wednesday,3628850.61,1253,886,44,933495.35,1378963.23,943501.16,725770.12,362885.06,217731.04
2026-03-05,Thursday,3502735.8,1100,797,39,930132.58,1331039.6,910711.31,700547.16,350273.58,210164.15
2026-03-06,Friday,3410702.89,1289,981,18,884171.01,1296067.1,886782.75,682140.58,341070.29,204642.17
2026-03-07,Saturday,2996531.24,1074,888,18,755027.76,1138681.87,779098.12,599306.25,299653.12,179791.87
2026-03-08,Sunday,2684486.26,972,812,44,739499.72,1020104.78,697966.43,536897.25,268448.63,161069.18
2026-03-09,Monday,3767749.38,1186,904,45,1017681.66,1431744.76,979614.84,753549.88,376774.94,226064.96
2026-03-10,Tuesday,3656913.07,1220,944,27,985116.36,1389626.97,950797.4,731382.61,365691.31,219414.78
2026-03-11,Wednesday,3397855.95,1068,774,63,874408.16,1291185.26,883442.55,679571.19,339785.6,203871.36
2026-03-12,Thursday,3761324.26,1380,1078,17,919336.79,1429303.22,977944.31,752264.85,376132.43,225679.46
2026-03-13,Friday,3806732.03,1227,861,62,1038400.47,1446558.17,989750.33,761346.41,380673.2,228403.92
2026-03-14,Saturday,2886541.76,1144,934,63,770795.74,1096885.87,750500.86,577308.35,288654.18,173192.51
2026-03-15,Sunday,2792156.36,1010,831,22,778641.32,1061019.42,725960.65,558431.27,279215.64,167529.38
2026-03-16,Monday,3601533.53,1368,968,17,1002328.93,1368582.74,936398.72,720306.71,360153.35,216092.01
2026-03-17,Tuesday,3528677.11,1156,825,57,971955.99,1340897.3,917456.05,705735.42,352867.71,211720.63
2026-03-18,Wednesday,3521852.3,1223,936,41,981976.54,1338303.87,915681.6,704370.46,352185.23,211311.14
2026-03-19,Thursday,3786289.72,1215,1028,15,925825.38,1438790.09,984435.33,757257.94,378628.97,227177.38
2026-03-20,Friday,3732102.01,1290,1045,54,1035451.42,1418198.76,970346.52,746420.4,373210.2,223926.12
2026-03-21,Saturday,2997494.27,961,712,61,763733.14,1139047.82,779348.51,599498.85,299749.43,179849.66
2026-03-22,Sunday,2937606.74,1065,781,56,768294.83,1116290.56,763777.75,587521.35,293760.67,176256.4
2026-03-23,Monday,3613985.96,1393,1142,63,880856.43,1373314.66,939636.35,722797.19,361398.6,216839.16
2026-03-24,Tuesday,3835337.06,1452,1088,21,1051009.45,1457428.08,997187.64,767067.41,383533.71,230120.22
2026-03-25,Wednesday,3534630.03,1306,1022,64,851124.93,1343159.41,919003.81,706926.01,353463.0,212077.8
2026-03-26,Thursday,3479825.44,1118,805,23,849869.37,1322333.67,904754.61,695965.09,347982.54,208789.53
2026-03-27,Friday,3835013.13,1340,962,55,984588.0,1457304.99,997103.41,767002.63,383501.31,230100.79
2026-03-28,Saturday,2992759.86,1038,814,55,758514.39,1137248.75,778117.56,598551.97,299275.99,179565.59
2026-03-29,Sunday,2842429.91,932,778,19,744771.81,1080123.37,739031.78,568485.98,284242.99,170545.79
2026-03-30,Monday,3415420.74,1092,903,43,826313.51,1297859.88,888009.39,683084.15,341542.07,204925.24
2026-03-31,Tuesday,3521020.53,1210,1004,23,906649.92,1337987.8,915465.34,704204.11,352102.05,211261.23
2026-04-01,Wednesday,3526978.64,1124,921,53,852133.82,1340251.88,917014.45,705395.73,352697.86,211618.72
2026-04-02,Thursday,3849432.71,1475,1089,29,959462.37,1462784.43,1000852.5,769886.54,384943.27,230965.96
2026-04-03,Friday,3668623.94,1290,1041,32,961569.59,1394077.1,953842.22,733724.79,366862.39,220117.44
2026-04-04,Saturday,2686711.05,933,678,65,691423.21,1020950.2,698544.87,537342.21,268671.1,161202.66
2026-04-05,Sunday,2769636.29,926,672,51,712274.79,1052461.79,720105.44,553927.26,276963.63,166178.18
2026-04-06,Monday,3681542.15,1185,881,23,1009268.57,1398986.02,957200.96,736308.43,368154.22,220892.53
2026-04-07,Tuesday,3890583.11,1381,1127,22,1062357.95,1478421.58,1011551.61,778116.62,389058.31,233434.99
2026-04-08,Wednesday,3610245.75,1360,1082,53,903476.15,1371893.39,938663.9,722049.15,361024.58,216614.74
2026-04-09,Thursday,3842967.34,1209,984,49,985455.08,1460327.59,999171.51,768593.47,384296.73,230578.04
2026-04-10,Friday,3645493.67,1318,1035,32,971785.14,1385287.59,947828.35,729098.73,364549.37,218729.62
2026-04-11,Saturday,2744267.26,1087,887,26,706731.95,1042821.56,713509.49,548853.45,274426.73,164656.04
2026-04-12,Sunday,2901239.58,1064,798,19,792185.28,1102471.04,754322.29,580247.92,290123.96,174074.37
2026-04-13,Monday,3771120.42,1188,906,48,965768.55,1433025.76,980491.31,754224.08,377112.04,226267.23
2026-04-14,Tuesday,3704165.34,1369,988,20,902633.85,1407582.83,963082.99,740833.07,370416.53,222249.92
2026-04-15,Wednesday,3929598.84,1369,1022,43,1037358.9,1493247.56,1021695.7,785919.77,392959.88,235775.93
2026-04-16,Thursday,3848729.85,1318,990,36,986329.6,1462517.34,1000669.76,769745.97,384872.99,230923.79
